iter	Passed	Remaining
418	2440	1636
419	2445	1630
420	2449	1623
421	2452	1615
422	2457	1609
423	2461	1602
424	2465	1595
425	2469	1588
426	2473	1581
427	2479	1576
428	2485	1570
429	2493	1565
430	2497	1559
431	2504	1553
432	2509	1547
433	2513	1540
434	2517	1533
435	2521	1527
436	2528	1521
437	2532	1515
438	2538	1509
439	2543	1502
440	2547	1496
441	2551	1489
442	2558	1484
443	2564	1478
444	2572	1474
445	2577	1468
446	2582	1461
447	2588	1455
448	2592	1449
449	2598	1443
450	2604	1438
451	2611	1432
452	2617	1427
453	2626	1422
454	2630	1416
455	2634	1409
456	2640	1403
457	2644	1397
458	2648	1390
459	2655	1385
460	2659	1378
461	2663	1372
462	2667	1365
463	2674	1360
464	2679	1354
465	2685	1348
466	2690	1342
467	2693	1335
468	2697	1328
469	2701	1322
470	2706	1315
471	2710	1309
472	2714	1302
473	2721	1297
474	2725	1291
475	2735	1287
476	2739	1280
477	2743	1274
478	2749	1268
479	2755	1263
480	2759	1256
481	2763	1249
482	2769	1244
483	2773	1237
484	2778	1231
485	2782	1225
486	2789	1219
487	2795	1214
488	2803	1209
489	2807	1203
490	2811	1196
491	2816	1190
492	2821	1184
493	2824	1177
494	2832	1173
495	2837	1167
496	2842	1160
497	2846	1154
498	2853	1149
499	2856	1142
500	2860	1136
501	2864	1130
502	2869	1123
503	2873	1117
504	2876	1110
505	2881	1104
506	2887	1099
507	2891	1093
508	2898	1087
509	2902	1081
510	2906	1074
511	2909	1068
512	2914	1062
513	2920	1056
514	2927	1051
515	2933	1046
516	2939	1040
517	2946	1035
518	2953	1029
519	2958	1023
520	2962	1017
521	2969	1012
522	2973	1006
523	2976	999
524	2984	994
525	2988	988
526	2995	983
527	3000	977
528	3004	971
529	3008	964
530	3012	958
531	3017	952
532	3023	947
533	3029	941
534	3033	935
535	3039	929
536	3045	924
537	3049	918
538	3053	912
539	3057	905
540	3061	899
541	3066	893
542	3071	887
543	3074	881
544	3081	876
545	3084	870
546	3089	864
547	3093	858
548	3098	852
549	3102	846
550	3106	840
551	3110	834
552	3117	828
553	3124	823
554	3131	818
555	3136	812
556	3140	806
557	3146	800
558	3152	795
559	3158	789
560	3165	784
561	3170	778
562	3177	773
563	3182	767
564	3187	761
565	3195	756
566	3200	750
567	3206	745
568	3213	739
569	3220	734
570	3226	729
571	3233	723
572	3237	717
573	3242	711
574	3246	705
575	3251	699
576	3258	694
577	3262	688
578	3267	682
579	3273	677
580	3279	671
581	3285	666
582	3288	660
583	3294	654
584	3298	648
585	3303	642
586	3309	637
587	3313	631
588	3317	625
589	3322	619
590	3327	613
591	3331	607
592	3339	602
593	3347	597
594	3359	592
595	3367	587
596	3375	582
597	3381	576
598	3385	570
599	3390	565
600	3394	559
601	3398	553
602	3402	547
603	3409	541
604	3413	536
605	3417	530
606	3421	524
607	3426	518
608	3429	512
609	3433	506
610	3438	500
611	3444	495
612	3448	489
613	3453	483
614	3458	477
615	3462	472
616	3467	466
617	3475	461
618	3481	455
619	3488	450
620	3492	444
621	3497	438
622	3501	432
623	3508	427
624	3514	421
625	3518	415
626	3525	410
627	3530	404
628	3537	399
629	3544	393
630	3548	387
631	3552	382
632	3557	376
633	3560	370
634	3564	364
635	3569	359
636	3573	353
637	3576	347
638	3580	341
639	3584	336
640	3589	330
641	3593	324
642	3597	318
643	3601	313
644	3609	307
645	3613	302
646	3617	296
647	3622	290
648	3627	285
649	3631	279
