iter	Logloss
0	0.6845674678
1	0.676388815
2	0.6679039939
3	0.6593983278
4	0.6533072315
5	0.6440715653
6	0.6366923608
7	0.6313250033
8	0.6264872895
9	0.6209121801
10	0.615706785
11	0.611042353
12	0.6064065362
13	0.6019886987
14	0.5974224813
15	0.5928766256
16	0.589761904
17	0.5863442561
18	0.5833770886
19	0.5794769987
20	0.5772479288
21	0.5747230963
22	0.5728490081
23	0.5711452239
24	0.5694577243
25	0.5675086438
26	0.5628516889
27	0.5611117756
28	0.5596796968
29	0.5584459223
30	0.5562259677
31	0.5539529704
32	0.551937716
33	0.5507318728
34	0.5495608849
35	0.5485631302
36	0.5461937709
37	0.5449445602
38	0.5437065706
39	0.5426012201
40	0.5414595281
41	0.5405309964
42	0.5388296707
43	0.5380210634
44	0.5372881627
45	0.5366397017
46	0.5359260518
47	0.5342751439
48	0.5337254363
49	0.5323156352
50	0.5317060445
51	0.5302786037
52	0.5299133146
53	0.5291492265
54	0.528557796
55	0.527958019
56	0.5266852971
57	0.5261245825
58	0.5257817633
59	0.5254184099
60	0.5246689608
61	0.5232484404
62	0.5220498853
63	0.5208187537
64	0.520435846
65	0.5196276374
66	0.5192991002
67	0.5189860713
68	0.5185125799
69	0.518279332
70	0.5174657004
71	0.5172356514
72	0.5168948196
73	0.5166676696
74	0.5163342656
75	0.5149627269
76	0.5147407779
77	0.5145188416
78	0.5140701098
79	0.5137511024
80	0.5135403771
81	0.5132251344
82	0.511963718
83	0.5115442172
84	0.5110636008
85	0.5107870194
86	0.5102664657
87	0.5099876347
88	0.5097238796
89	0.5095544385
90	0.5094362162
91	0.5078864366
92	0.5076911277
93	0.5073565208
94	0.5071936906
95	0.5069872162
96	0.5059051312
97	0.5056190164
98	0.5054389517
99	0.5039820851
100	0.5037950381
101	0.5029214152
102	0.5026938143
103	0.5025288768
104	0.5022750464
105	0.5021101945
106	0.5019013927
107	0.5016258027
108	0.5013246501
109	0.5003764646
110	0.5002006227
111	0.4999343717
112	0.4997440871
113	0.499451268
114	0.4992481074
115	0.4991659875
116	0.4989451215
117	0.4983467958
118	0.498228207
119	0.4981092723
120	0.497966472
121	0.4977351295
122	0.4970521424
123	0.4967943326
124	0.4965387224
125	0.4956414817
126	0.495356779
127	0.4951888232
128	0.4944875337
129	0.4942300476
130	0.4935292034
131	0.4933367583
132	0.4930746182
133	0.4928328971
134	0.4926371384
135	0.4924574685
136	0.4923805551
137	0.4922262418
138	0.4920383273
139	0.4918203307
140	0.4915480417
141	0.4912979326
142	0.4903987645
143	0.4903271784
144	0.4902004727
145	0.4899384326
146	0.4897604906
147	0.4895555329
148	0.4894407785
149	0.4892589066
150	0.489099181
151	0.4889014557
152	0.4887188009
153	0.488564427
154	0.4884259516
155	0.4882732507
156	0.4881531724
157	0.4879675097
158	0.4877897156
159	0.4876635358
160	0.4875107473
161	0.4873378878
162	0.4872195184
163	0.4870424408
164	0.4862826396
165	0.4861128143
166	0.4859234509
167	0.4857382674
168	0.4855204406
169	0.4853742506
170	0.4852493624
171	0.4850995786
172	0.4849998296
173	0.4847794314
174	0.4846097492
175	0.4844102223
176	0.4842855335
177	0.4828128452
178	0.4825906113
179	0.4824301686
180	0.4816853159
181	0.4814759256
182	0.4813419049
183	0.4811235574
184	0.4809447375
185	0.4808280397
186	0.4807236988
187	0.4806103104
188	0.4805332579
189	0.4804162082
190	0.4802768806
191	0.4800685194
192	0.4799660041
193	0.4796081176
194	0.4794555763
195	0.479280037
196	0.4790816152
197	0.4788187053
198	0.478661485
199	0.4785334431
200	0.4784189466
201	0.4783259333
202	0.4781761463
203	0.4775655497
204	0.4774315504
205	0.4772569736
206	0.4771017095
207	0.4769468259
208	0.4767793493
209	0.4766541639
210	0.4763209039
211	0.4762154344
212	0.4760404493
213	0.4758611862
214	0.4757209801
215	0.4756249293
216	0.4755738587
217	0.4754478752
218	0.4753653823
219	0.4742146974
220	0.4740778965
221	0.4739126642
222	0.473782397
223	0.4736959708
224	0.4735052579
225	0.4732612742
226	0.4730935105
227	0.4728590342
228	0.4726156624
229	0.4725069492
230	0.4723603009
231	0.4722625108
232	0.4720671848
233	0.4720027319
234	0.4715067959
235	0.4713710709
236	0.4713069016
237	0.4711190004
238	0.4710324209
239	0.47083547
240	0.4707538367
241	0.4706208297
242	0.4704429774
243	0.4694283391
244	0.4692733615
245	0.4690965349
246	0.4690230864
247	0.4688234479
248	0.4687010886
249	0.4685723496
250	0.4684646267
251	0.4683250798
252	0.4680972471
253	0.4679905782
254	0.4678384528
255	0.4677382076
256	0.4676362014
257	0.467511581
258	0.467390347
259	0.4672200745
260	0.4671540822
261	0.4670050317
262	0.4668752422
263	0.4667683019
264	0.4665240359
265	0.4662885655
266	0.4661946177
267	0.4655840571
268	0.4654905624
269	0.4653974795
270	0.4652933286
271	0.4651326287
272	0.464982382
273	0.4648457649
274	0.4647248401
275	0.464627866
276	0.4644608789
277	0.4639998081
278	0.4638372883
279	0.4637751695
280	0.4636061117
281	0.4634922706
282	0.463305871
283	0.4630785831
284	0.4629096601
285	0.4628241313
286	0.4627254196
287	0.4625386564
288	0.4623859806
289	0.4622253482
290	0.4621592557
291	0.4620193613
292	0.4619477879
293	0.4616779378
294	0.4615756739
295	0.4613719931
296	0.4612614449
297	0.4610880945
298	0.4609061607
299	0.4607864744
300	0.4606848722
301	0.4604945144
302	0.4603084134
303	0.4601656985
304	0.4596828624
305	0.4595981124
306	0.4594647328
307	0.4591567649
308	0.4590280591
309	0.4585112624
310	0.4583919658
311	0.4582886357
312	0.4581483324
313	0.4579825858
314	0.457812804
315	0.457710408
316	0.4572455028
317	0.4571204743
318	0.4570424357
319	0.4568974769
320	0.4567688109
321	0.4566557928
322	0.4564907315
323	0.4562889807
324	0.4561498701
325	0.4560315617
326	0.4558657998
327	0.4557726519
328	0.4556143424
329	0.4554410175
330	0.4552406295
331	0.4550787301
332	0.4549413276
333	0.4547763161
334	0.454630623
335	0.454520843
336	0.4544031121
337	0.4542744179
338	0.4540417678
339	0.4536610273
340	0.4535137393
341	0.4531194862
342	0.4529314208
343	0.4527757764
344	0.4526213665
345	0.452475648
346	0.4523318212
347	0.4522088901
348	0.4519837231
349	0.4518728983
350	0.4517788206
351	0.451648294
352	0.4512008312
353	0.4510078873
354	0.4508181789
355	0.4507509847
356	0.4499284252
357	0.4497650214
358	0.4495803772
359	0.4494414485
360	0.449308328
361	0.4491605425
362	0.4489979756
363	0.448838033
364	0.4486245064
365	0.4483566369
366	0.4482193226
367	0.4480265797
368	0.4478724306
369	0.4476649878
370	0.4475587012
371	0.4471335717
372	0.4470104522
373	0.4468414255
374	0.4466553592
375	0.4464724817
376	0.4463320427
377	0.4461585394
378	0.446028566
379	0.4452810416
380	0.4450632619
381	0.4448319218
382	0.444693541
383	0.4445157807
384	0.4443705129
385	0.4441469486
386	0.4439701818
387	0.4438202799
388	0.4435529448
389	0.4434354717
390	0.4432798905
391	0.4431736967
392	0.4430681399
393	0.4428672544
394	0.4427083997
395	0.4425477266
396	0.4423725371
397	0.442213238
398	0.441984589
399	0.4419096507
400	0.4417416515
401	0.4416612809
402	0.4415458012
403	0.4413831903
404	0.4412346383
405	0.4411005797
406	0.4409438186
407	0.440794835
408	0.4406639111
409	0.440494847
410	0.4403640219
411	0.4402166995
412	0.4400652539
413	0.439944107
414	0.4397827793
415	0.4396312713
416	0.4395175162
417	0.4393783089
418	0.4392565322
419	0.4391286426
420	0.4390421228
421	0.4388936954
422	0.4387481477
423	0.4385681077
424	0.4383731305
425	0.438258242
426	0.4381703506
427	0.4380412161
428	0.4379069654
429	0.4377212547
430	0.4375988188
431	0.4374693527
432	0.4373553854
433	0.4372185484
434	0.4370565151
435	0.4369418233
436	0.4368526435
437	0.4366821884
438	0.4365824893
439	0.4364170872
440	0.4362045994
441	0.4360470017
442	0.4359166882
443	0.4357001929
444	0.4356268815
445	0.4354263007
446	0.4352617512
447	0.435099219
448	0.4349803119
449	0.4348574919
450	0.4347622113
451	0.434658433
452	0.4345260236
453	0.4344019359
454	0.4342297705
455	0.4340537733
456	0.4339036225
457	0.4337853055
458	0.4336700465
459	0.4335838406
460	0.4333983658
461	0.4332391711
462	0.4331163424
463	0.4329637177
464	0.4328532782
465	0.4327055802
466	0.4325308068
467	0.432390141
468	0.4322373265
469	0.4321112429
470	0.4319777665
471	0.4317566503
472	0.431588691
473	0.4314644286
474	0.4313301222
475	0.4312242644
476	0.431077912
477	0.4310077822
478	0.4309125021
479	0.4307203592
