iter	Logloss
480	0.4305706016
481	0.4304401962
482	0.430304858
483	0.4302004159
484	0.4300498145
485	0.429888559
486	0.4297662333
487	0.4296515029
488	0.4294264045
489	0.4293113854
490	0.4290750282
491	0.4289821236
492	0.4288137584
493	0.4286566144
494	0.4284864953
495	0.4283157236
496	0.4281725071
497	0.4279688485
498	0.4278410095
499	0.4276587082
500	0.4275231084
501	0.4273794121
502	0.4272293963
503	0.4270766705
504	0.4267785321
505	0.4266410004
506	0.4265117366
507	0.4264089052
508	0.426195712
509	0.4260573634
510	0.4259386196
511	0.4258007228
512	0.4256421466
513	0.4255041322
514	0.4253092321
515	0.4251803631
516	0.4249845121
517	0.4246326449
518	0.4245359427
519	0.4244428199
520	0.4242225901
521	0.4240941134
522	0.4239293239
523	0.423822675
524	0.4236359399
525	0.4235787363
526	0.4234834504
527	0.4233412995
528	0.4232372773
529	0.4231388474
530	0.4229983355
531	0.4228775441
532	0.4227620416
533	0.422624167
534	0.4224643964
535	0.4223240136
536	0.4222258945
537	0.4221008351
538	0.4219332726
539	0.4217690328
540	0.4216641468
541	0.4214876821
542	0.4213678619
543	0.4212050932
544	0.4210246747
545	0.4208448468
546	0.4208131908
547	0.4206532588
548	0.4204874366
549	0.4203926413
550	0.4202087152
551	0.4200844364
552	0.4199167468
553	0.4198251292
554	0.4197325591
555	0.4195812359
556	0.419431073
557	0.4193750285
558	0.4192062673
559	0.4191312615
560	0.4189526598
561	0.418875839
562	0.4187706092
563	0.4186561864
564	0.4185608079
565	0.418461081
566	0.4183069109
567	0.4182013444
568	0.4181185272
569	0.4179894783
570	0.417871082
571	0.4176390841
572	0.4174931759
573	0.4174019132
574	0.4172190084
575	0.4170860603
576	0.4169585373
577	0.4168589778
578	0.4167822197
579	0.4166981861
580	0.416603583
581	0.4164537397
582	0.4163464618
583	0.4162185424
584	0.4161024392
585	0.4160028509
586	0.4158499017
587	0.4157041765
588	0.4155984621
589	0.4154816865
590	0.4153911366
591	0.4151684351
592	0.415013364
593	0.4148084204
594	0.4146886578
595	0.4145904167
596	0.4145113993
597	0.4143478886
598	0.414251661
599	0.4141193481
600	0.4140329809
601	0.4138576027
602	0.4137436538
603	0.4136781143
604	0.413546028
605	0.4133879879
606	0.4132027904
607	0.4130794376
608	0.4129472531
609	0.4128276213
610	0.412671111
611	0.4125138948
612	0.4124103759
613	0.4123206396
614	0.4121672105
615	0.4120918646
616	0.4119360462
617	0.4118327224
618	0.411722599
619	0.4115848448
620	0.4114472646
621	0.4112299378
622	0.4110883087
623	0.4109381101
624	0.4108152849
625	0.4106698765
626	0.4105538071
627	0.4104724236
628	0.4103243834
629	0.4101400424
630	0.4099725427
631	0.4098492321
632	0.4097086596
633	0.4096062755
634	0.4094704438
635	0.4093635256
636	0.409197232
637	0.4090569102
638	0.4089086862
639	0.4086682934
640	0.4085320316
641	0.4083955918
642	0.408315144
643	0.4081762321
644	0.4080409953
645	0.4079420418
646	0.4078203768
647	0.4077105382
648	0.4075693979
649	0.4074627608
650	0.4073141937
651	0.4072082735
652	0.4070346291
653	0.4068500599
654	0.4067503055
655	0.4066350703
656	0.4064936769
657	0.4063968944
658	0.4062678693
659	0.406112446
660	0.4060699252
661	0.4059879863
662	0.4058359122
663	0.4057049683
664	0.4056420722
665	0.4054465449
666	0.4053163972
667	0.4047274214
668	0.4045379685
669	0.4044017897
670	0.4042129202
671	0.4041453175
672	0.4039940456
673	0.4038891024
674	0.403757182
675	0.4036533179
676	0.4035079128
677	0.4033723376
678	0.4032360767
679	0.403128237
680	0.4029510271
681	0.4028401286
682	0.4027393221
683	0.4026506216
684	0.4025462982
685	0.4024565638
686	0.4023331579
687	0.4021885099
688	0.4020592832
689	0.401941755
690	0.4018361266
691	0.401722357
692	0.4016132876
693	0.4015234581
694	0.4013008737
695	0.4011918313
696	0.4011149806
697	0.4009810014
698	0.4008684945
699	0.4007368537
